filename,pmid,first_author,year,title,journal,doi,pmcid,authors_count,pub_types,has_abstract,open_access
BellI_2025,39938338,Bell I,2025,Targeting the quorum sensing network in Acinetobacter baumannii: A dual target structure-based approach for the development of novel antimicrobials.,Computers in biology and medicine,10.1016/j.compbiomed.2025.109828,,2,Journal Article,yes,unknown
Beasley_2025,39896648,Beasley,2025,Breaking the Phalanx: Overcoming Bacterial Drug Resistance with Quorum Sensing Inhibitors that Enhance Therapeutic Activity of Antibiotics.,bioRxiv : the preprint server for biology,10.1101/2025.01.17.633658,PMC11785035,9,Journal Article; Preprint,yes,yes
Zhang_2025,39806310,Zhang,2025,Understanding the clinical and molecular epidemiological characteristics of carbapenem-resistant Acinetobacter baumannii infections within intensive care units of three teaching hospitals.,Annals of clinical microbiology and antimicrobials,10.1186/s12941-024-00766-4,PMC11731405,8,Journal Article,yes,yes
Sharma_2025,39799303,Sharma,2025,Comparative study of phenotypic and genotypic expression of virulence factors in colonizing and pathogenic carbapenem resistant Acinetobacter baumannii (CRAB).,BMC microbiology,10.1186/s12866-024-03727-1,PMC11724464,7,Journal Article; Comparative Study,yes,yes
Zehra_2025,39778756,Zehra,2025,"Relationship of biofilm formation with antibiotic resistance, virulence determinants and genetic diversity in clinically isolated Acinetobacter baumannii strains in Karachi, Pakistan.",Microbial pathogenesis,10.1016/j.micpath.2025.107283,,7,Journal Article,yes,unknown
Liu_2024,39759767,Liu,2024,Molecular Epidemiology and Genetic Characterization of Carbapenem-Resistant Acinetobacter baumannii Isolates from the ICU of a Tertiary Hospital in East China.,Infection and drug resistance,10.2147/IDR.S491858,PMC11699857,10,Journal Article,yes,yes
Pathoor_2024,39739165,Pathoor,2024,3-Hydroxybenzoic acid inhibits the virulence attributes and disrupts biofilm production in clinical isolates of Acinetobacter baumannii.,European journal of clinical microbiology & infectious diseases : official publication of the European Society of Clinical Microbiology,10.1007/s10096-024-05009-0,,8,Journal Article,yes,unknown
Rothong_2024,39735565,Rothong,2024,Antimicrobial activity and synergistic effect of phage-encoded antimicrobial peptides with colistin and outer membrane permeabilizing agents against Acinetobacter baumannii.,PeerJ,10.7717/peerj.18722,PMC11674141,10,Journal Article,yes,yes
Oh_2024,39551112,Oh,2024,Comparative genomic and phenotypic analysis of low- and high-virulent Acinetobacter baumannii strains: Insights into antimicrobial resistance and virulence potential.,Microbial pathogenesis,10.1016/j.micpath.2024.107118,,8,Journal Article; Comparative Study,yes,unknown
Swain_2024,39543024,Swain,2024,Transcriptome and interactome-based analyses to unravel crucial proteins and pathways involved in Acinetobacter baumannii pathogenesis.,Molecular diversity,10.1007/s11030-024-11041-1,,3,Journal Article,yes,unknown
Chen_2024,39414173,Chen,2024,Emergence of extensively-drug-resistant hypervirulent Acinetobacter baumannii isolated from patients with bacteraemia: bacterial phenotype and virulence analysis.,International journal of antimicrobial agents,10.1016/j.ijantimicag.2024.107358,,7,Journal Article,yes,unknown
Subbarayudu_2024,39375235,Subbarayudu,2024,Impact of acidic and alkaline conditions on Staphylococcus aureus and Acinetobacter baumannii interactions and their biofilms.,Archives of microbiology,10.1007/s00203-024-04142-w,,6,Journal Article,yes,unknown
Benyamini_2024,39337268,Benyamini,2024,The Comparative Characterization of a Hypervirulent Acinetobacter baumannii Bacteremia Clinical Isolate Reveals a Novel Mechanism of Pathogenesis.,International journal of molecular sciences,10.3390/ijms25189780,PMC11432228,1,Journal Article; Comparative Study,yes,yes
Yao_2024,39334982,Yao,2024,"Comparison of Hypervirulent and Non-Hypervirulent Carbapenem-Resistant Acinetobacter baumannii Isolated from Bloodstream Infections: Mortality, Potential Virulence Factors, and Combination Therapy In Vitro.","Antibiotics (Basel, Switzerland)",10.3390/antibiotics13090807,PMC11428969,14,Journal Article,yes,yes
Ribeiro_2024,39293727,Ribeiro,2024,Eugenol as a promising antibiofilm and anti-quorum sensing agent: A systematic review.,Microbial pathogenesis,10.1016/j.micpath.2024.106937,,7,Journal Article; Systematic Review,yes,unknown
Tuffet_2024,39288183,Tuffet,2024,Manipulation of natural transformation by AbaR-type islands promotes fixation of antibiotic resistance in Acinetobacter baumannii.,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2409843121,PMC11441513,8,Journal Article,yes,yes
Pumirat_2024,39277662,Pumirat,2024,"Impact of AbaI mutation on virulence, biofilm development, and antibiotic susceptibility in Acinetobacter baumannii.",Scientific reports,10.1038/s41598-024-72740-1,PMC11401864,11,Journal Article,yes,yes
Chen_2024_2,39270758,Chen,2024,"Clinical, phenotypic characterization and genomic analysis of the mucoid Acinetobacter baumannii from a teaching hospital.",Microbial pathogenesis,10.1016/j.micpath.2024.106929,,10,Journal Article,yes,unknown
Dong_2024,39252274,Dong,2024,Erythromycin disrupts Acinetobacter baumannii biofilms through destruction of the quorum sensing system.,Medicine,10.1097/MD.0000000000038341,PMC11383728,7,Journal Article,yes,yes
Harkova_2024,39241032,Harkova,2024,Cyclic AMP is a global virulence regulator governing inter and intrabacterial signalling in Acinetobacter baumannii.,PLoS pathogens,10.1371/journal.ppat.1012529,PMC11410210,5,Journal Article,yes,yes
Escalante_2024,39160175,Escalante,2024,Carbapenem-resistant Acinetobacter baumannii (CRAB): metabolic adaptation and transcriptional response to human urine (HU).,Scientific reports,10.1038/s41598-024-70216-w,PMC11333713,14,Journal Article,yes,yes
Jiang_2024,39116980,Jiang,2024,The role of AbaI quorum sensing molecule synthase in host cell inflammation induced by Acinetobacter baumannii and its effect on zebrafish infection model.,International journal of biological macromolecules,10.1016/j.ijbiomac.2024.134568,,8,Journal Article,yes,unknown
